turn,province_index,province,converged,ceiling_hit,iterations,initial_statistic,final_statistic,final_to_initial_ratio,last20_final_to_initial_ratio,last20_decrease_fraction,last20_range,last20_coefficient_of_variation,last20_two_step_to_one_step_median,last20_policy_switch_median,last20_two_step_reversion_median,first_policy_switch_iteration,first_two_step_reversion_iteration,first_value_nondec_iteration,first_derivative_floor_hit_iteration,first_negative_offdiagonal_iteration,first_nonzero_row_sum_defect_iteration,derivative_floor_share_first,derivative_floor_share_final,minimum_offdiagonal_all_iterations,maximum_row_sum_defect_all_iterations,linear_solve_residual_first,linear_solve_residual_final,linear_solve_residual_max,raw_entering_r_a,consumed_r_a,return_guard_state,consumed_household_composite_wage,guarded_wjt,wage_guard_state,accepted_output_exact,final_operator_exact
1,30,新疆,True,False,15,0.5531010804830236,6.1155787101085934e-09,1.1056891635011549e-08,1.1056891635011549e-08,0.7857142857142857,0.5531010743674449,1.6038620478066894,3.2739319983461566,199.5,7.0,2,3,3,6,3,1,0.0,0.0,-5.005480882607952,0.007442982386707153,5.022371407648052e-14,2.348121697082206e-14,5.617728504603292e-14,0.08353213126422437,0.08353213126422437,NOT_APPLIED_BOOTSTRAP,13.837477514705718,1.3,UPPER,True,True
2,0,北京,False,True,100,0.5012209552471418,1.1975377207601963,2.3892411285352484,2.5550700900702177,0.5789473684210527,90.89922505098777,2.7257347267727883,1.2351727668350634,176.5,40.0,2,3,3,3,2,1,0.0,0.1525,-5956.767255795711,0.7093102307531916,5.98965321785272e-14,2.6803722448561634e-06,0.7479738166324389,0.8201047990241246,0.35,UPPER,17.299970660971283,1.3,UPPER,True,True
2,1,天津,False,True,100,0.48620815889577784,0.059337943944469784,0.12204226288434064,0.04029484185448642,0.5789473684210527,4.806896958822176,1.3746427456514194,1.2695448046199986,66.0,17.0,2,3,3,5,2,1,0.0,0.0025,-3348.8456573592857,0.11633345859183447,6.251249518030022e-14,6.29704621779581e-13,0.0001299777343180819,0.3301168592285279,0.3301168592285279,UNSATURATED,17.195008630055963,1.3,UPPER,True,True
2,2,河北,False,True,100,0.4717370926537612,1.1685567694320753,2.4771356495592682,3.2853846328340524,0.631578947368421,16.83005246324096,1.5362022730821092,1.2507404948503766,255.0,50.0,2,3,3,4,2,1,0.0,0.3475,-4185.813941762108,0.07324063495309702,7.423228698399953e-14,2.53462993943937e-08,0.1085190352556981,0.2618268115116993,0.2618268115116993,UNSATURATED,17.109022000888128,1.3,UPPER,True,True
2,3,山西,False,True,100,0.4948547757553916,0.004123059127876694,0.008331856798962643,2.790992382609645,0.3684210526315789,0.0029114261328553326,0.4321477534831992,1.073704823887384,1.0,0.0,2,3,2,3,2,1,0.0,1.3625,-964.1990847462898,0.13383303728599188,6.6044392177389e-14,1.5654090003425214e-11,0.0017985063126772123,0.3541478483179543,0.35,UPPER,17.144883996985083,1.3,UPPER,True,True
2,4,内蒙古,False,True,100,0.48560096696355926,0.05109719857355116,0.10522466397268444,0.3872511543666119,0.631578947368421,0.1017087991543894,0.325512110234316,1.5675197381539616,27.5,1.0,2,3,3,4,2,1,0.0,0.83,-18365.53469518983,0.07185146002558979,5.934142066621462e-14,4.091508382098041e-12,0.00014522982086028098,0.25938351792132075,0.25938351792132075,UNSATURATED,16.59286864974986,1.3,UPPER,True,True
2,5,辽宁,False,True,100,0.513716604928184,0.002090778540951521,0.004069906483252192,0.10132658529473243,0.5789473684210527,0.2638177187489159,1.8456211206648407,1.786287512943122,3.0,0.5,2,4,3,4,2,1,0.0,0.8075,-34496.899748553726,0.0853809849033706,5.113964807179627e-14,1.3879947538542048e-12,7.646514221867169e-06,0.28288915914936935,0.28288915914936935,UNSATURATED,15.834995829751918,1.3,UPPER,True,True
2,6,吉林,False,True,100,0.5217844853241451,0.01103831436228675,0.021154930191972808,0.748143050602134,0.5263157894736842,0.017163653542007107,0.2816256087296011,1.4168829629734792,11.0,1.0,2,3,3,4,2,1,0.0,0.7925,-17611.560045757513,0.04602411128977152,6.061123825062964e-14,3.3182074709453557e-12,3.171360666886537e-05,0.20767394001491743,0.20767394001491743,UNSATURATED,15.134974362204954,1.1893962923482995,UNSATURATED,True,True
2,7,黑龙江,False,True,100,0.5698502904853577,0.6547233891935016,1.1489392918197077,0.5089559567444095,0.5789473684210527,4.177331455078654,0.8394934185658223,1.2136061093002284,198.5,30.5,2,3,4,4,2,1,0.0,0.145,-27888.421412735137,0.061776402563270494,4.8953896492065496e-14,2.6796318516510848e-06,0.006038949031651156,0.24079289752609306,0.24079289752609306,UNSATURATED,13.997338503949052,1.2775992877170088,UNSATURATED,True,True
2,8,上海,False,True,100,0.5042227288149519,0.39256307777803257,0.7785509366082185,0.7554922984546324,0.5263157894736842,0.8197815345182788,0.6391530652507023,1.6720162051442329,58.5,4.0,2,3,2,3,2,1,0.0,0.425,-3880.8134308891667,0.6239910088601188,5.633687960582279e-14,2.301441443669505e-09,0.029127836803174684,0.7686338107969248,0.35,UPPER,17.087607156872718,1.3,UPPER,True,True
