turn,province_index,province,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,firm_K_total_over_Ktarget,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,A,B,L,C,nk_gap,yt_gap,GDP_level_gap,Zt_before,Zt_after,govinv_action,adaptation_gate_open
15,24,云南,68611984.86091176,207356.53252823366,121166206.6605912,121166206.6605912,121373563.19311944,0.0030221619874221807,1.7659627090837826,1.7659627090837826,1.7689848710712048,0.10853520334146682,0.09,0.08687225604432372,1.025355058968348,1.025355058968348,7.33266658603711,4.659036395880904,0.6902717576700239,8.38159112153569,0.12003230866598469,0.00023006822802995597,0.0723794337247683,0.4127394863800682,0.4127394863800682,NONE,False
15,25,西藏,6325734.326183821,211039.98955036345,10815710.432153055,10815710.432153055,11026750.421703419,0.03336213294270285,1.7097952386941202,1.7097952386941202,1.743157371636823,0.0837440478518797,0.0837440478518797,0.08462591480008301,0.07795981776252123,0.8,8.164160674001419,1.950366210244686,0.6613003441603227,7.661280296239316,0.11649103503314762,0.0009765501938927557,0.07052248688177909,0.18097873769473996,0.18097873769473996,NONE,False
15,26,陕西,73897910.2910824,204772.87417147416,130535103.08514701,130535103.08514701,130739875.95931849,0.002771023880984968,1.7664248227178798,1.7664248227178798,1.7691958465988649,0.11742763908562753,0.09,0.083988649640434,1.1353480198300514,1.1353480198300514,7.314583773059438,4.6717590707236365,0.6811559748539429,9.149567350282451,0.120128764730421,0.00023356931648266244,0.07237644920621467,0.44367411004775653,0.44367411004775653,NONE,False
15,27,甘肃,25177704.67938732,211658.92164626345,44212142.9881584,44212142.9881584,44423801.90980466,0.008406601171215819,1.756003716429097,1.756003716429097,1.7644103176003125,0.11682517062902018,0.09,0.09,0.4058306512792804,0.8,7.327287813682419,4.660010059537631,0.6846777207613747,8.553309461441014,0.11895041824899932,0.0003991480420986182,0.07213928807526715,0.33788835261626593,0.33788835261626593,NONE,False
15,28,青海,17578407.529567722,209731.01380500576,23105673.459270954,23105673.459270954,23315404.47307596,0.011931172573637752,1.3144349634860897,1.3144349634860897,1.3263661360597274,0.060265838897249006,0.060265838897249006,0.051462869159522744,0.12656409013754094,0.8,6.045444255795459,1.703747798016458,0.6876056052835342,8.687893570190317,0.0007413038479759937,0.0004502726864069606,3.140666456846741e-05,0.17195565348619854,0.17195565348619854,NONE,False
15,29,宁夏,18640640.44456374,209479.6709403556,29668537.757551536,29668537.757551536,29878017.42849189,0.011237793656464587,1.591605065597621,1.591605065597621,1.6028428592540855,0.05998058307394235,0.05998058307394235,0.05817275940360737,0.15655327980408704,0.8,6.933804227172699,1.596473328208536,0.6663846795704033,9.290020650079569,0.017630391000961643,0.06792630019603241,0.0003921829768391838,0.18198315100601886,0.18198315100601886,NONE,False
15,30,新疆,49250553.031937115,206306.47101258385,86867166.35813671,86867166.35813671,87073472.82914929,0.004188916840767289,1.7637805265213298,1.7637805265213298,1.7679694433620967,0.08912116937136233,0.08912116937136233,0.08347752179997293,0.6837877930897308,0.8,8.175776895661706,1.9543061321456532,0.6680167511321029,7.331711575804151,0.1193783803985442,0.00030819617107746833,0.07240484820279414,0.3310856268422811,0.3310856268422811,NONE,False
16,0,北京,58719043.066994764,204345.11161955268,103645597.72704378,114010157.49974817,103849942.83866332,0.0034800483956526278,1.7651104703595155,1.9416215173954674,1.768590518755168,0.22815888116372587,0.09,0.07849675658547567,1.5839764562765004,1.3,7.320445703154915,4.674464120072975,0.68742814033784,9.115051569972339,0.044467039483522486,2.8035919135360743e-05,0.07247681700748232,0.7249491928666326,0.6759579147728795,HIGH_RA_INCREASE_1P1,True
16,1,天津,64593598.72309723,202746.9731600828,114057639.8015065,114057639.8015065,114260386.77466659,0.0031388090641803023,1.7657731115192075,1.7657731115192075,1.7689119205833879,0.06574254969365789,0.06574254969365789,0.05410949359770818,0.6651561012903081,0.8,6.460333884182882,1.6414745930387076,0.6699946974878768,9.614504922452385,0.044500717206644946,2.5447982563431282e-05,0.0725050430407439,0.27795463790264524,0.2591639449215027,NONE,True
16,2,河北,113705229.18254791,203834.82139972533,201057898.396688,221163688.23635682,201261733.21808773,0.0017926600462013843,1.7682379239911639,1.9450617163902804,1.7700305840373651,0.10026760541325018,0.09,0.08637767585688469,1.5060101117447173,1.3,7.31474515051729,4.669937929249411,0.6795785673411143,9.10349829770874,0.04452308915991665,2.7669539615304828e-05,0.0725869642271677,0.4360074483432433,0.4065007900384098,HIGH_RA_INCREASE_1P1,True
