stage,turn,province_index,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,6,19,广西,True,14,3.046151775265571e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,20,海南,True,15,5.434219740863e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,21,重庆,True,13,1.1513311193311893e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,22,四川,True,14,1.7743140290349402e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,23,贵州,True,13,2.0780128284769717e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,24,云南,True,13,1.521830350625919e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,25,西藏,True,16,2.7239681621438194e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,26,陕西,True,16,1.3854224434339812e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,27,甘肃,True,13,2.1702352803742997e-08,HJB_CONVERGED
OUTER_TRAJECTORY,6,28,青海,True,26,1.510507274815609e-10,HJB_CONVERGED
OUTER_TRAJECTORY,6,29,宁夏,True,25,7.747562147386589e-09,HJB_CONVERGED
OUTER_TRAJECTORY,6,30,新疆,True,16,2.681117994285387e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,0,北京,True,25,9.388860711112557e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,1,天津,True,22,2.5641067935566753e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,2,河北,True,13,1.2564684848115348e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,3,山西,True,13,3.346247945401615e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,4,内蒙古,True,25,8.359757330822504e-11,HJB_CONVERGED
OUTER_TRAJECTORY,7,5,辽宁,True,15,7.645986954685213e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,6,吉林,True,25,5.680411696573628e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,7,黑龙江,True,20,1.622870327011583e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,8,上海,True,25,8.610870061431797e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,9,江苏,True,15,7.490032816193093e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,10,浙江,True,16,4.72229877424013e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,11,安徽,True,13,5.428114935313033e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,12,福建,True,16,2.5650336077376323e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,13,江西,True,14,1.846829356111357e-10,HJB_CONVERGED
OUTER_TRAJECTORY,7,14,山东,True,73,1.746914479738848e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,15,河南,True,13,1.0122664928502445e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,16,湖北,True,13,5.662382118742926e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,17,湖南,True,13,2.1849747788849072e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,18,广东,True,13,8.254721350908767e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,19,广西,True,13,1.895494827763855e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,20,海南,True,13,1.2836314233766188e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,21,重庆,True,13,7.683259362067929e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,22,四川,True,14,1.3595182757342172e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,23,贵州,True,14,2.451196134956035e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,24,云南,True,14,3.268726622707163e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,25,西藏,True,16,2.700375922870535e-09,HJB_CONVERGED
