outer_iteration,province_index_0based,province,global_household_call_number,field,old,new,absolute_error,scaled_eps,matches_128eps
1,23,贵州,24,Tt,0.1,0.1,0.0,0.0,True
1,23,贵州,24,rb_gap,0.07,0.07,0.0,0.0,True
1,23,贵州,24,Yt,15353210.0,15353210.0,0.0,0.0,True
1,23,贵州,24,Lt,188600.0,188600.0,0.0,0.0,True
1,23,贵州,24,Kt,32803436.570136297,32803436.570136297,0.0,0.0,True
1,23,贵州,24,Zt,0.0006090843098101169,0.0006090843098101169,0.0,0.0,True
1,23,贵州,24,GovInv,32803436.570136297,32803436.570136297,0.0,0.0,True
1,24,云南,25,rah,0.09,0.09,0.0,0.0,True
1,24,云南,25,rb,0.02,0.02,0.0,0.0,True
1,24,云南,25,tau,0.05,0.05,0.0,0.0,True
1,24,云南,25,w,20.0,20.0,0.0,0.0,True
1,24,云南,25,Tt,0.1,0.1,0.0,0.0,True
1,24,云南,25,rb_gap,0.07,0.07,0.0,0.0,True
1,24,云南,25,Yt,20880630.0,20880630.0,0.0,0.0,True
1,24,云南,25,Lt,282200.0,282200.0,0.0,0.0,True
1,24,云南,25,Kt,53834280.8089249,53834280.8089249,0.0,0.0,True
1,24,云南,25,Zt,0.0007110216288681008,0.0007110216288681008,0.0,0.0,True
1,24,云南,25,GovInv,53834280.8089249,53834280.8089249,0.0,0.0,True
1,25,西藏,26,rah,0.09,0.09,0.0,0.0,True
1,25,西藏,26,rb,0.02,0.02,0.0,0.0,True
1,25,西藏,26,tau,0.05,0.05,0.0,0.0,True
1,25,西藏,26,w,20.0,20.0,0.0,0.0,True
1,25,西藏,26,Tt,0.1,0.1,0.0,0.0,True
1,25,西藏,26,rb_gap,0.07,0.07,0.0,0.0,True
1,25,西藏,26,Yt,1477630.0,1477630.0,0.0,0.0,True
1,25,西藏,26,Lt,7853.660000000001,7853.660000000001,0.0,0.0,True
1,25,西藏,26,Kt,6015865.97237512,6015865.97237512,0.0,0.0,True
1,25,西藏,26,Zt,0.0007579273359250301,0.0007579273359250301,0.0,0.0,True
1,25,西藏,26,GovInv,6015865.97237512,6015865.97237512,0.0,0.0,True
1,26,陕西,27,rah,0.09,0.09,0.0,0.0,True
1,26,陕西,27,rb,0.02,0.02,0.0,0.0,True
1,26,陕西,27,tau,0.05,0.05,0.0,0.0,True
1,26,陕西,27,w,20.0,20.0,0.0,0.0,True
1,26,陕西,27,Tt,0.1,0.1,0.0,0.0,True
1,26,陕西,27,rb_gap,0.07,0.07,0.0,0.0,True
1,26,陕西,27,Yt,23941880.0,23941880.0,0.0,0.0,True
1,26,陕西,27,Lt,211200.0,211200.0,0.0,0.0,True
1,26,陕西,27,Kt,50576819.2081364,50576819.2081364,0.0,0.0,True
1,26,陕西,27,Zt,0.000652876469041312,0.000652876469041312,0.0,0.0,True
1,26,陕西,27,GovInv,50576819.2081364,50576819.2081364,0.0,0.0,True
1,27,甘肃,28,rah,0.09,0.09,0.0,0.0,True
1,27,甘肃,28,rb,0.02,0.02,0.0,0.0,True
1,27,甘肃,28,tau,0.05,0.05,0.0,0.0,True
1,27,甘肃,28,w,20.0,20.0,0.0,0.0,True
1,27,甘肃,28,Tt,0.1,0.1,0.0,0.0,True
1,27,甘肃,28,rb_gap,0.07,0.07,0.0,0.0,True
1,27,甘肃,28,Yt,8246100.0,8246100.0,0.0,0.0,True
1,27,甘肃,28,Lt,133700.0,133700.0,0.0,0.0,True
1,27,甘肃,28,Kt,18423950.2203418,18423950.2203418,0.0,0.0,True
1,27,甘肃,28,Zt,0.0005131096729274248,0.0005131096729274248,0.0,0.0,True
1,27,甘肃,28,GovInv,18423950.2203418,18423950.2203418,0.0,0.0,True
1,28,青海,29,rah,0.09,0.09,0.0,0.0,True
1,28,青海,29,rb,0.02,0.02,0.0,0.0,True
1,28,青海,29,tau,0.05,0.05,0.0,0.0,True
