call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
204,True,True,61,61,8.381961791315007e-12,8.381961791315007e-12,True,True
205,True,True,13,13,9.133641087899491e-08,9.133641087899491e-08,True,True
206,True,True,13,13,3.8032355487160885e-08,3.8032355487160885e-08,True,True
207,True,True,13,13,1.8458079953376227e-08,1.8458079953376227e-08,True,True
208,True,True,14,14,3.1676261613711176e-10,3.1676261613711176e-10,True,True
209,True,True,18,18,1.562783236153109e-10,1.562783236153109e-10,True,True
210,True,True,13,13,3.782137270036401e-08,3.782137270036401e-08,True,True
211,True,True,14,14,3.939404358277443e-10,3.939404358277443e-10,True,True
212,True,True,15,15,6.321587431301623e-08,6.321587431301623e-08,True,True
213,True,True,14,14,4.5820547356356656e-10,4.5820547356356656e-10,True,True
214,True,True,14,14,1.4777912227259549e-10,1.4777912227259549e-10,True,True
215,True,True,25,25,8.527997419349731e-08,8.527997419349731e-08,True,True
216,True,True,14,14,9.343477103129771e-10,9.343477103129771e-10,True,True
217,True,True,15,15,3.119420721731103e-09,3.119420721731103e-09,True,True
218,True,True,24,24,2.765141893235068e-09,2.765141893235068e-09,True,True
219,True,True,26,26,8.85125395200248e-09,8.85125395200248e-09,True,True
220,False,False,100,100,0.029967940416894434,0.029967940416894434,True,True
221,False,False,100,100,0.033063515748210204,0.033063515748210204,True,True
222,True,True,17,17,2.2411716926740155e-10,2.2411716926740155e-10,True,True
223,False,False,100,100,0.28557783817950444,0.28557783817950444,True,True
224,True,True,15,15,5.537622804752118e-09,5.537622804752118e-09,True,True
225,True,True,14,14,1.9509913684601088e-09,1.9509913684601088e-09,True,True
226,True,True,16,16,1.0530965210975296e-08,1.0530965210975296e-08,True,True
227,True,True,14,14,1.5314074008898615e-08,1.5314074008898615e-08,True,True
228,True,True,14,14,4.305857226327703e-09,4.305857226327703e-09,True,True
229,False,False,100,100,0.12775464816679838,0.12775464816679838,True,True
230,True,True,13,13,8.638790038872912e-08,8.638790038872912e-08,True,True
231,False,False,100,100,0.2565798498508167,0.2565798498508167,True,True
232,True,True,14,14,5.674367731245411e-08,5.674367731245411e-08,True,True
233,False,False,100,100,0.27618431323295045,0.27618431323295045,True,True
234,False,False,100,100,5.662560258246074e-06,5.662560258246074e-06,True,True
235,False,False,100,100,0.25030474468576003,0.25030474468576003,True,True
236,True,True,14,14,4.089968363985008e-10,4.089968363985008e-10,True,True
237,True,True,13,13,2.297462620148849e-08,2.297462620148849e-08,True,True
